feature_id,namespace,key,english_present,present_locale_count,missing_locales,extra_locales,same_as_english_locales,source_file,availability
COMFY-SETTING-003,commands,Workspace_ToggleFocusMode.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Workspace_ToggleSidebarTab_apps.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Workspace_ToggleSidebarTab_apps.tooltip,yes,13,,,en | pt-BR,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Workspace_ToggleSidebarTab_assets.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Workspace_ToggleSidebarTab_assets.tooltip,yes,13,,,en | pt-BR,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Workspace_ToggleSidebarTab_model-library.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Workspace_ToggleSidebarTab_model-library.tooltip,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Workspace_ToggleSidebarTab_node-library.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Workspace_ToggleSidebarTab_node-library.tooltip,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Workspace_ToggleSidebarTab_workflows.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Workspace_ToggleSidebarTab_workflows.tooltip,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,main,actionbar.dockToTop,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,actionbar.feedback,yes,13,,,en | pt-BR,src/locales/en/main.json,active
COMFY-SETTING-003,main,actionbar.feedbackTooltip,yes,13,,,en | pt-BR,src/locales/en/main.json,active
COMFY-SETTING-003,main,actionbar.share,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,actionbar.shareTooltip,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,apiNodesCostBreakdown.costPerRun,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,apiNodesCostBreakdown.title,yes,13,,,en | ru,src/locales/en/main.json,active
COMFY-SETTING-003,main,apiNodesCostBreakdown.totalCost,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,apiNodesSignInDialog.message,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,apiNodesSignInDialog.title,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,appBuilder.vueNodeSwitch.content,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,appBuilder.vueNodeSwitch.dismiss,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,appBuilder.vueNodeSwitch.dontShowAgain,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,appBuilder.vueNodeSwitch.title,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.allCategory,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.allModels,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.apiKeyHint,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.apiKeyHintLink,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.ariaLabel.assetCard,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.ariaLabel.loadingAsset,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.assetCollection,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.assets,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.baseModel,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.baseModels,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.browseAssets,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.byType,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.checkpoints,yes,13,,,en | es | fr | he | pt-BR | zh-TW,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.civitaiLinkExample,yes,13,,,ar | en | es | fa | fr | he | ja | ko | pt-BR | ru | tr | zh-TW,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.civitaiLinkExampleStrong,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.civitaiLinkExampleUrl,yes,13,,,ar | en | es | fa | fr | he | ja | ko | pt-BR | ru | tr | zh | zh-TW,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.civitaiLinkLabel,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.civitaiLinkLabelDownload,yes,13,,,en | pt-BR,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.civitaiLinkPlaceholder,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.confirmModelDetails,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.connectionError,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.deletion.body,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.deletion.complete,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.deletion.failed,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.deletion.header,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.deletion.inProgress,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.download.complete,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.download.failed,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.download.inProgress,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.emptyImported.canImport,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.emptyImported.restricted,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.errorAccessForbidden,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.errorConnectionRefused,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.errorDownloadCancelled,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.errorFileTooLarge,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.errorFormatNotAllowed,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.errorHttpError,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.errorInternalError,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.errorInvalidHost,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.errorInvalidUrl,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.errorInvalidUrlFormat,yes,13,,,en,src/locales/en/main.json,active
COMFY-SETTING-003,main,assetBrowser.errorMetadataFetchFailed,yes,13,,,en,src/locales/en/main.json,active
