feature_id,source_file,module,domain,public_functions,classes,function_count,class_count,command_ids,classification,evidence_level
COMFY-CLI-MODULE-13C89E92C2F3,comfy_cli/command/workflow.py,comfy_cli.command.workflow,command surface,slots_cmd | set_slot_cmd | vary_cmd | list_cmd | get_cmd | save_cmd | delete_cmd,_ResponseTooLarge,26,1,COMFY-CLI-CMD-73CE11F8C80F | COMFY-CLI-CMD-58BE2604E2D0 | COMFY-CLI-CMD-A1CC17F932B8 | COMFY-CLI-CMD-E47F1FD666C5 | COMFY-CLI-CMD-78E739672C50 | COMFY-CLI-CMD-4742AFC0FB69 | COMFY-CLI-CMD-EF6E4E653866,production module,code-inferred
COMFY-CLI-MODULE-3729648E6E09,comfy_cli/command/workflow_fragments.py,comfy_cli.command.workflow_fragments,command surface,compose_cmd | decompose_cmd | fragment_ls_cmd | fragment_show_cmd | fragment_validate_cmd,,11,0,COMFY-CLI-CMD-6A89790B1CAF | COMFY-CLI-CMD-F3383A93A6AC | COMFY-CLI-CMD-DAA4CD510B4C | COMFY-CLI-CMD-CC26004346FB | COMFY-CLI-CMD-F0B4EF4496B8,production module,code-inferred
COMFY-CLI-MODULE-F8EE221CC329,comfy_cli/config_manager.py,comfy_cli.config_manager,core service,,ConfigManager,13,1,,production module,code-inferred
COMFY-CLI-MODULE-C6188FFEB3A3,comfy_cli/constants.py,comfy_cli.constants,core service,,OS | PROC | CUDAVersion | ROCmVersion | GPU_OPTION,0,5,,production module,code-inferred
COMFY-CLI-MODULE-11E4F5EA613E,comfy_cli/cql/__init__.py,comfy_cli.cql.__init__,graph schema and query,,,0,0,,production module,code-inferred
COMFY-CLI-MODULE-D082278D4563,comfy_cli/cql/_net.py,comfy_cli.cql._net,graph schema and query,is_loopback_host,,1,0,,production module,code-inferred
COMFY-CLI-MODULE-EC942FBA225C,comfy_cli/cql/data/__init__.py,comfy_cli.cql.data.__init__,graph schema and query,,,0,0,,production module,code-inferred
COMFY-CLI-MODULE-5E1D5EA47F35,comfy_cli/cql/engine.py,comfy_cli.cql.engine,graph schema and query,parse_supported_nodes | parse_disable_config | parse_no_gpu_nodes,PortOptions | Port | Morphism | Graph | LoadError,66,5,,production module,code-inferred
COMFY-CLI-MODULE-A3B1294ACE5B,comfy_cli/cql/errors.py,comfy_cli.cql.errors,graph schema and query,,CQLRuntimeError,3,1,,production module,code-inferred
COMFY-CLI-MODULE-0BC383F8AC5C,comfy_cli/cql/loader.py,comfy_cli.cql.loader,graph schema and query,load_graph | normalize | object_info_cache_path | write_object_info_cache | read_object_info_cache | resilient_load_object_info,,17,0,,production module,code-inferred
COMFY-CLI-MODULE-0D03FD9FCC94,comfy_cli/credentials.py,comfy_cli.credentials,core service,get_session | find_api_key | resolve_cloud_credential,Credential,4,1,,production module,code-inferred
COMFY-CLI-MODULE-4C7EAAB28CE3,comfy_cli/cuda_detect.py,comfy_cli.cuda_detect,core service,detect_cuda_driver_version | resolve_cuda_wheel,,5,0,,production module,code-inferred
COMFY-CLI-MODULE-1152E78D340F,comfy_cli/discovery.py,comfy_cli.discovery,core service,list_schema_names | load_all_schemas | load_error_codes | build_discovery,,6,0,,production module,code-inferred
COMFY-CLI-MODULE-4DE63AE73B5C,comfy_cli/env_checker.py,comfy_cli.env_checker,core service,format_python_version | check_comfy_server_running,EnvChecker,8,1,,production module,code-inferred
COMFY-CLI-MODULE-5188C838F64E,comfy_cli/error_codes.py,comfy_cli.error_codes,core service,is_registered | get | all_codes | as_discover_rows,ErrorCode,4,1,,production module,code-inferred
