feature_id,setting_id,label,schema_type,ui_type,default_expression,version_added,availability,source_file,line,localized_en,test
COMFY-WORKFLOW-072,Comfy.Workflow.WorkflowTabsPosition,Opened workflows position,z.enum(['Sidebar',combo,'Topbar',,active,src/platform/settings/constants/coreSettings.ts,627,yes,src/components/sidebar/tabs/BaseWorkflowsSidebarTab.test.ts
COMFY-WORKFLOW-073,Comfy.WorkflowActions.SeenItems,Comfy.WorkflowActions.SeenItems,z.array(z.string()),hidden,[] as string[],1.41.5,infrastructure-only,src/platform/settings/constants/coreSettings.ts,897,no,src/composables/useNewMenuItemIndicator.test.ts
COMFY-GRAPH-079,LiteGraph.Canvas.LowQualityRenderingZoomThreshold,LiteGraph.Canvas.LowQualityRenderingZoomThreshold,z.number(),hidden,0.6,1.9.1,deprecated/dead,src/platform/settings/constants/coreSettings.ts,996,no,
COMFY-GRAPH-080,LiteGraph.Canvas.MaximumFps,Maximum FPS,z.number(),slider,0,1.5.1,active,src/platform/settings/constants/coreSettings.ts,915,yes,
COMFY-SETTING-064,LiteGraph.Canvas.MinFontSizeForLOD,Zoom Node Level of Detail - font size threshold,z.number(),slider,8,1.26.7,active,src/platform/settings/constants/coreSettings.ts,1012,yes,
COMFY-GRAPH-081,LiteGraph.ContextMenu.Scaling,Scale node combo widget menus (lists) when zoomed in,z.boolean(),boolean,false,1.8.8,active,src/platform/settings/constants/coreSettings.ts,988,yes,
COMFY-GRAPH-082,LiteGraph.Group.SelectChildrenOnClick,Select group children on click,z.boolean(),boolean,false,1.42.0,active,src/platform/settings/constants/coreSettings.ts,1295,yes,
COMFY-GRAPH-083,LiteGraph.Node.DefaultPadding,Always shrink new nodes,z.boolean(),boolean,false,1.18.0,active,src/platform/settings/constants/coreSettings.ts,1121,yes,
COMFY-GRAPH-084,LiteGraph.Node.TooltipDelay,Tooltip Delay,z.number(),number,500,1.9.0,active,src/platform/settings/constants/coreSettings.ts,553,yes,src/components/graph/NodeTooltip.test.ts
COMFY-GRAPH-085,LiteGraph.Pointer.TrackpadGestures,LiteGraph.Pointer.TrackpadGestures,z.boolean(),z.boolean(),runtime/extension-defined,,active,src/schemas/apiSchema.ts,480,no,
COMFY-GRAPH-086,LiteGraph.Reroute.SplineOffset,Reroute spline offset,z.number(),slider,20,1.15.7,active,src/platform/settings/constants/coreSettings.ts,1037,yes,
COMFY-SETTING-065,VHS.AdvancedPreviews,VHS.AdvancedPreviews,z.string(),z.string(),runtime/extension-defined,,active,src/schemas/apiSchema.ts,453,no,
COMFY-SETTING-066,pysssss.SnapToGrid,Always snap to grid,z.boolean(),boolean,false,1.3.13,active,src/platform/settings/constants/coreSettings.ts,849,yes,src/stores/extensionStore.test.ts
