record_id,path,node_candidate,layout,registry_match_kind,corroboration_status,corroborated_feature_ids,embedded_doc_record_ids,evidence_level
COMFY-DOC-NODE-9CE9C9EC95A2,built-in-nodes/GetICLoRAParameters.mdx,GetICLoRAParameters,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0204,COMFY-EMBEDDOC-0A1E5D710910,documented-only
COMFY-DOC-NODE-C82EFF4C929D,built-in-nodes/GetImageSize.mdx,GetImageSize,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0205,COMFY-EMBEDDOC-4B9C5CB1F651,documented-only
COMFY-DOC-NODE-4B8526DE733F,built-in-nodes/GetSplatCount.mdx,GetSplatCount,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0206,COMFY-EMBEDDOC-1EB87B4DB8B0,documented-only
COMFY-DOC-NODE-73C409883B69,built-in-nodes/GetVideoComponents.mdx,GetVideoComponents,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0207,COMFY-EMBEDDOC-04D39170DEF9,documented-only
COMFY-DOC-NODE-D9640FB3B024,built-in-nodes/GrokImageEditNode.mdx,GrokImageEditNode,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0212,COMFY-EMBEDDOC-71116F84C42C,documented-only
COMFY-DOC-NODE-9EFEBE8BE17D,built-in-nodes/GrokImageEditNodeV2.mdx,GrokImageEditNodeV2,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0213,COMFY-EMBEDDOC-A12C54C78AE9,documented-only
COMFY-DOC-NODE-5D259076E083,built-in-nodes/GrokImageNode.mdx,GrokImageNode,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0214,COMFY-EMBEDDOC-1DEF31E81B66,documented-only
COMFY-DOC-NODE-9551AA25FA52,built-in-nodes/GrokVideoEditNode.mdx,GrokVideoEditNode,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0215,COMFY-EMBEDDOC-2B62521D3271,documented-only
COMFY-DOC-NODE-94B63FDEC166,built-in-nodes/GrokVideoExtendNode.mdx,GrokVideoExtendNode,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0216,COMFY-EMBEDDOC-ED581BFF86D8,documented-only
COMFY-DOC-NODE-6AEA7BD27D4E,built-in-nodes/GrokVideoNode.mdx,GrokVideoNode,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0217,COMFY-EMBEDDOC-7768AA26F10D,documented-only
COMFY-DOC-NODE-638765C039A2,built-in-nodes/GrokVideoReferenceNode.mdx,GrokVideoReferenceNode,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0218,COMFY-EMBEDDOC-FB78FFCC62FC,documented-only
COMFY-DOC-NODE-A62110AB6F38,built-in-nodes/GrowMask.mdx,GrowMask,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0219,COMFY-EMBEDDOC-271A52BE7B93,documented-only
COMFY-DOC-NODE-33ECD8789083,built-in-nodes/HappyHorseImageToVideoApi.mdx,HappyHorseImageToVideoApi,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0220,COMFY-EMBEDDOC-4F3BEAADE89D,documented-only
COMFY-DOC-NODE-14E6EF13176F,built-in-nodes/HappyHorseReferenceVideoApi.mdx,HappyHorseReferenceVideoApi,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0221,COMFY-EMBEDDOC-429DBA911228,documented-only
COMFY-DOC-NODE-D69C0C812953,built-in-nodes/HappyHorseTextToVideoApi.mdx,HappyHorseTextToVideoApi,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0222,COMFY-EMBEDDOC-5C64F0E526A6,documented-only
COMFY-DOC-NODE-7AF62162C399,built-in-nodes/HappyHorseVideoEditApi.mdx,HappyHorseVideoEditApi,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0223,COMFY-EMBEDDOC-E92003143084,documented-only
COMFY-DOC-NODE-573177E40A84,built-in-nodes/HiDreamO1PatchSeamSmoothing.mdx,HiDreamO1PatchSeamSmoothing,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0224,COMFY-EMBEDDOC-8D54064B4124,documented-only
COMFY-DOC-NODE-870796AA8F80,built-in-nodes/HiDreamO1ReferenceImages.mdx,HiDreamO1ReferenceImages,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0225,COMFY-EMBEDDOC-03E95C3A55AD,documented-only
COMFY-DOC-NODE-AC51253F3195,built-in-nodes/HitPawGeneralImageEnhance.mdx,HitPawGeneralImageEnhance,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0226,COMFY-EMBEDDOC-45D47BC4BE14,documented-only
COMFY-DOC-NODE-B8B8664A619C,built-in-nodes/HitPawVideoEnhance.mdx,HitPawVideoEnhance,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0227,COMFY-EMBEDDOC-BD9C56502463,documented-only
